"case","event"
"case_41","serD|unassigned"
"case_41","vulnD|storage"
"case_41","infoD|remoteAccess"
"case_41","hostD|remoteAccess"
"case_41","serD|unassigned"
"case_41","vulnD|remoteAccess"
"case_41","hostD|http(s)"
"case_42","serD|unassigned"
"case_42","vulnD|storage"
"case_42","serD|unassigned"
"case_42","vulnD|remoteAccess"
"case_43","serD|unassigned"
"case_43","vulnD|remoteAccess"
"case_43","serD|unassigned"
"case_43","vulnD|remoteAccess"
"case_44","hostD|http(s)"
"case_44","serD|unassigned"
"case_44","vulnD|storage"
"case_44","serD|unassigned"
"case_44","vulnD|storage"
"case_44","hostD|http(s)"
"case_45","serD|unassigned"
"case_45","vulnD|storage"
"case_45","serD|unassigned"
"case_45","vulnD|remoteAccess"
"case_46","serD|unassigned"
"case_46","vulnD|storage"
"case_46","serD|unassigned"
"case_46","vulnD|storage"
"case_47","hostD|surveillance"
"case_47","serD|unassigned"
"case_47","vulnD|storage"
"case_47","infoD|unassigned"
"case_47","exfil|unassigned"
"case_48","vulnD|storage"
"case_48","serD|unassigned"
"case_48","hostD|surveillance"
"case_48","infoD|unassigned"
"case_48","exfil|unassigned"
"case_49","serD|unassigned"
"case_49","vulnD|remoteAccess"
"case_49","serD|unassigned"
"case_49","vulnD|remoteAccess"
"case_50","serD|unassigned"
"case_50","vulnD|remoteAccess"
"case_50","serD|voip"
"case_50","hostD|http(s)"
"case_50","serD|unassigned"
"case_50","vulnD|storage"
"case_50","serD|voip"
"case_50","hostD|http(s)"
"case_51","hostD|http(s)"
"case_51","serD|unassigned"
"case_51","vulnD|storage"
"case_51","bfCred|email"
"case_52","serD|unassigned"
"case_52","vulnD|remoteAccess"
"case_52","hostD|http(s)"
"case_53","hostD|unassigned"
"case_53","serD|unassigned"
"case_53","vulnD|storage"
"case_54","serD|unassigned"
"case_54","vulnD|remoteAccess"
"case_54","serD|unassigned"
"case_54","vulnD|remoteAccess"
"case_55","serD|unassigned"
"case_55","vulnD|storage"
"case_55","serD|unassigned"
"case_55","vulnD|storage"
"case_56","serD|unassigned"
"case_56","vulnD|remoteAccess"
"case_56","vulnD|remoteAccess"
"case_57","serD|unassigned"
"case_57","vulnD|remoteAccess"
"case_57","serD|unassigned"
"case_57","vulnD|storage"
"case_58","vulnD|http(s)"
"case_58","rPrivEsc|http(s)"
"case_58","remoteexp|http(s)"
"case_58","dManip|http(s)"
"case_58","exfil|http(s)"
"case_59","vulnD|storage"
"case_59","serD|unassigned"
"case_59","hostD|http(s)"
"case_60","serD|unassigned"
"case_60","vulnD|storage"
"case_60","hostD|http(s)"
"case_61","serD|unassigned"
"case_61","serD|unassigned"
"case_61","vulnD|storage"
"case_62","serD|unassigned"
"case_62","serD|unassigned"
"case_62","vulnD|storage"
"case_63","hostD|http(s)"
"case_63","serD|unassigned"
"case_63","vulnD|storage"
"case_64","hostD|http(s)"
"case_64","serD|ATCcomm"
"case_64","vulnD|storage"
"case_65","serD|unassigned"
"case_65","vulnD|storage"
"case_65","hostD|http(s)"
"case_66","serD|unassigned"
"case_66","vulnD|storage"
