"case","event"
"case_110","serD"
"case_110","vulnD"
"case_110","serD"
"case_110","vulnD"
"case_110","hostD"
"case_110","hostD"
"case_111","serD"
"case_111","vulnD"
"case_111","hostD"
"case_111","serD"
"case_111","vulnD"
"case_111","CnC"
"case_112","serD"
"case_112","vulnD"
"case_112","serD"
"case_112","vulnD"
"case_113","serD"
"case_113","vulnD"
"case_113","hostD"
"case_113","infoD"
"case_113","exfil"
"case_114","serD"
"case_114","vulnD"
"case_114","hostD"
"case_114","infoD"
"case_114","exfil"
"case_115","serD"
"case_115","vulnD"
"case_115","hostD"
"case_115","serD"
"case_115","vulnD"
"case_115","hostD"
"case_115","surf"
"case_115","infoD"
"case_115","netDOS"
"case_116","serD"
"case_116","vulnD"
"case_116","serD"
"case_116","vulnD"
"case_117","hostD"
"case_117","serD"
"case_117","vulnD"
"case_117","infoD"
"case_117","exfil"
"case_118","serD"
"case_118","vulnD"
"case_118","hostD"
"case_118","exfil"
"case_119","serD"
"case_119","vulnD"
"case_119","bfCred"
"case_120","hostD"
"case_120","serD"
"case_120","vulnD"
"case_120","bfCred"
"case_121","hostD"
"case_121","hostD"
"case_121","serD"
"case_121","vulnD"
"case_121","rPrivEsc"
"case_122","serD"
"case_122","vulnD"
"case_122","hostD"
"case_122","infoD"
"case_122","infoD"
"case_122","hostD"
"case_123","serD"
"case_123","vulnD"
"case_123","hostD"
"case_123","infoD"
"case_123","infoD"
"case_123","hostD"
"case_124","serD"
"case_124","vulnD"
"case_124","hostD"
"case_124","infoD"
"case_124","infoD"
"case_124","hostD"
"case_125","serD"
"case_125","vulnD"
"case_125","surf"
"case_125","infoD"
"case_125","netDOS"
"case_126","surf"
"case_126","serD"
"case_126","infoD"
"case_126","netDOS"
"case_127","hostD"
"case_127","infoD"
"case_127","infoD"
"case_127","hostD"
"case_127","surf"
"case_127","infoD"
"case_127","netDOS"
"case_128","serD"
"case_128","vulnD"
"case_128","surf"
"case_128","infoD"
"case_128","netDOS"
"case_129","surf"
"case_129","infoD"
"case_129","hostD"
"case_129","infoD"
"case_129","infoD"
"case_129","hostD"
"case_130","serD"
"case_130","vulnD"
"case_130","hostD"
"case_130","infoD"
"case_130","infoD"
"case_130","hostD"
"case_131","serD"
"case_131","vulnD"
"case_131","hostD"
"case_131","infoD"
"case_131","infoD"
"case_131","hostD"
"case_132","serD"
"case_132","vulnD"
"case_132","hostD"
"case_132","infoD"
"case_132","infoD"
"case_132","hostD"
"case_133","serD"
"case_133","vulnD"
"case_133","hostD"
"case_133","infoD"
"case_133","infoD"
"case_133","hostD"
"case_134","serD"
"case_134","vulnD"
"case_134","hostD"
"case_134","infoD"
"case_134","infoD"
"case_134","hostD"
"case_135","serD"
"case_135","vulnD"
"case_135","hostD"
"case_135","infoD"
"case_135","infoD"
"case_135","hostD"
"case_136","serD"
"case_136","vulnD"
"case_136","serD"
"case_136","vulnD"
"case_136","serD"
"case_136","vulnD"
"case_136","hostD"
"case_136","serD"
"case_136","vulnD"
"case_136","hostD"
"case_137","serD"
"case_137","vulnD"
"case_137","serD"
"case_137","vulnD"
"case_137","serD"
"case_137","vulnD"
"case_137","serD"
"case_137","vulnD"
"case_138","serD"
"case_138","vulnD"
"case_138","serD"
"case_138","vulnD"
"case_138","serD"
"case_138","vulnD"
"case_138","serD"
"case_138","vulnD"
"case_139","serD"
"case_139","vulnD"
"case_139","serD"
"case_139","vulnD"
"case_139","serD"
"case_139","vulnD"
"case_139","serD"
"case_139","vulnD"
"case_140","serD"
"case_140","vulnD"
"case_140","serD"
"case_140","vulnD"
"case_140","serD"
"case_140","vulnD"
"case_140","serD"
"case_140","vulnD"
"case_141","serD"
"case_141","vulnD"
"case_141","serD"
"case_141","vulnD"
"case_141","hostD"
"case_141","serD"
"case_141","vulnD"
"case_141","hostD"
"case_141","serD"
"case_141","vulnD"
"case_141","hostD"
"case_142","serD"
"case_142","vulnD"
"case_142","serD"
"case_142","vulnD"
"case_142","serD"
"case_142","vulnD"
"case_142","serD"
"case_142","vulnD"
"case_143","serD"
"case_143","vulnD"
"case_143","serD"
"case_143","vulnD"
"case_143","serD"
"case_143","vulnD"
"case_143","serD"
"case_143","vulnD"
"case_144","serD"
"case_144","vulnD"
"case_144","serD"
"case_144","vulnD"
"case_144","serD"
"case_144","vulnD"
"case_144","serD"
"case_144","vulnD"
"case_145","serD"
"case_145","vulnD"
"case_145","serD"
"case_145","vulnD"
"case_145","serD"
"case_145","vulnD"
"case_145","hostD"
"case_145","serD"
"case_145","vulnD"
"case_145","hostD"
"case_146","serD"
"case_146","vulnD"
"case_146","serD"
"case_146","vulnD"
"case_146","hostD"
"case_146","serD"
"case_146","vulnD"
"case_146","serD"
"case_146","vulnD"
"case_146","infoD"
"case_146","hostD"
"case_146","serD"
"case_146","vulnD"
"case_146","hostD"
"case_147","hostD"
"case_147","serD"
"case_147","vulnD"
"case_147","uPrivEsc"
"case_148","hostD"
"case_148","serD"
"case_148","vulnD"
"case_148","CnC"
"case_149","surf"
"case_149","infoD"
"case_149","uPrivEsc"
"case_149","netDOS"
"case_150","serD"
"case_150","vulnD"
"case_150","hostD"
"case_150","infoD"
"case_150","exfil"
"case_151","uPrivEsc"
"case_151","uPrivEsc"
"case_151","uPrivEsc"
"case_152","serD"
"case_152","vulnD"
"case_152","hostD"
"case_152","infoD"
"case_152","exfil"
"case_153","surf"
"case_153","infoD"
"case_153","netDOS"
"case_154","serD"
"case_154","vulnD"
"case_154","surf"
"case_154","infoD"
"case_154","netDOS"
"case_155","serD"
"case_155","vulnD"
"case_155","serD"
"case_155","vulnD"
"case_155","serD"
"case_155","vulnD"
"case_155","hostD"
"case_155","serD"
"case_155","vulnD"
"case_155","hostD"
"case_156","surf"
"case_156","infoD"
"case_156","netDOS"
"case_157","serD"
"case_157","vulnD"
"case_157","surf"
"case_157","infoD"
"case_157","netDOS"
"case_158","serD"
"case_158","vulnD"
"case_158","vulnD"
"case_158","vulnD"
"case_158","serD"
"case_158","vulnD"
"case_158","hostD"
"case_158","serD"
"case_158","vulnD"
"case_158","hostD"
"case_159","serD"
"case_159","vulnD"
"case_159","serD"
"case_159","vulnD"
"case_159","vulnD"
"case_159","vulnD"
"case_159","serD"
"case_159","vulnD"
"case_159","serD"
"case_159","vulnD"
"case_160","serD"
"case_160","vulnD"
"case_160","serD"
"case_160","vulnD"
"case_160","vulnD"
"case_160","serD"
"case_160","vulnD"
"case_160","serD"
"case_160","vulnD"
"case_160","hostD"
"case_160","serD"
"case_160","vulnD"
"case_160","hostD"
"case_161","serD"
"case_161","vulnD"
"case_161","serD"
"case_161","vulnD"
"case_161","serD"
"case_161","vulnD"
"case_161","vulnD"
"case_161","vulnD"
"case_161","serD"
"case_161","vulnD"
"case_161","serD"
"case_161","vulnD"
"case_162","serD"
"case_162","vulnD"
"case_162","serD"
"case_162","vulnD"
"case_162","vulnD"
"case_162","vulnD"
"case_162","serD"
"case_162","vulnD"
"case_162","serD"
"case_162","vulnD"
"case_163","serD"
"case_163","vulnD"
"case_163","serD"
"case_163","vulnD"
"case_163","vulnD"
"case_163","vulnD"
"case_163","serD"
"case_163","vulnD"
"case_163","serD"
"case_163","vulnD"
"case_164","serD"
"case_164","vulnD"
"case_164","serD"
"case_164","vulnD"
"case_164","vulnD"
"case_164","vulnD"
"case_164","serD"
"case_164","vulnD"
"case_164","serD"
"case_164","vulnD"
"case_165","serD"
"case_165","vulnD"
"case_165","surf"
"case_165","infoD"
"case_165","serD"
"case_165","vulnD"
"case_165","vulnD"
"case_165","serD"
"case_165","vulnD"
"case_165","serD"
"case_165","vulnD"
"case_166","serD"
"case_166","vulnD"
"case_166","serD"
"case_166","vulnD"
"case_166","vulnD"
"case_166","vulnD"
"case_166","vulnD"
"case_166","serD"
"case_166","serD"
"case_166","vulnD"
"case_166","vulnD"
"case_166","vulnD"
"case_167","serD"
"case_167","vulnD"
"case_167","serD"
"case_167","vulnD"
"case_167","vulnD"
"case_167","serD"
"case_167","vulnD"
"case_167","serD"
"case_167","vulnD"
"case_167","hostD"
"case_167","serD"
"case_167","vulnD"
"case_167","hostD"
"case_168","hostD"
"case_168","serD"
"case_168","vulnD"
"case_168","surf"
"case_168","infoD"
"case_168","netDOS"
"case_169","hostD"
"case_169","serD"
"case_169","vulnD"
"case_169","serD"
"case_170","hostD"
"case_170","serD"
"case_170","vulnD"
"case_170","bfCred"
"case_171","serD"
"case_171","vulnD"
"case_171","serD"
"case_171","vulnD"
"case_171","serD"
"case_171","vulnD"
"case_172","serD"
"case_172","vulnD"
"case_172","hostD"
"case_172","serD"
"case_172","vulnD"
"case_172","infoD"
"case_172","serD"
"case_172","vulnD"
"case_173","serD"
"case_173","vulnD"
"case_173","serD"
"case_173","vulnD"
"case_174","serD"
"case_174","vulnD"
"case_174","serD"
"case_174","vulnD"
"case_174","serD"
"case_174","vulnD"
"case_174","serD"
"case_174","vulnD"
"case_175","serD"
"case_175","vulnD"
"case_175","serD"
"case_175","vulnD"
"case_175","serD"
"case_175","vulnD"
"case_175","serD"
"case_175","vulnD"
"case_176","serD"
"case_176","vulnD"
"case_176","serD"
"case_176","vulnD"
"case_176","serD"
"case_176","vulnD"
"case_176","serD"
"case_176","vulnD"
"case_176","serD"
"case_176","vulnD"
"case_177","serD"
"case_177","vulnD"
"case_177","serD"
"case_177","vulnD"
"case_178","serD"
"case_178","vulnD"
"case_178","serD"
"case_178","vulnD"
"case_179","serD"
"case_179","vulnD"
"case_179","hostD"
"case_179","serD"
"case_179","vulnD"
"case_179","hostD"
"case_179","serD"
"case_179","vulnD"
"case_180","serD"
"case_180","vulnD"
"case_180","serD"
"case_180","vulnD"
"case_181","serD"
"case_181","vulnD"
"case_181","hostD"
"case_181","hostD"
"case_181","serD"
"case_181","vulnD"
"case_182","hostD"
"case_182","serD"
"case_182","vulnD"
"case_182","serD"
"case_182","vulnD"
"case_182","hostD"
"case_183","CnC"
"case_183","CnC"
"case_183","CnC"
"case_184","infoD"
"case_184","exfil"
"case_184","exfil"
"case_185","serD"
"case_185","vulnD"
"case_185","infoD"
"case_185","exfil"
"case_186","serD"
"case_186","vulnD"
"case_186","uPrivEsc"
"case_187","infoD"
"case_187","serD"
"case_187","vulnD"
"case_187","serD"
"case_187","vulnD"
"case_187","serD"
"case_187","vulnD"
"case_187","hostD"
"case_187","infoD"
"case_187","serD"
"case_187","vulnD"
"case_187","serD"
"case_187","vulnD"
"case_187","infoD"
"case_188","infoD"
"case_188","serD"
"case_188","vulnD"
"case_188","infoD"
"case_188","infoD"
"case_189","infoD"
"case_189","serD"
"case_189","vulnD"
"case_189","serD"
"case_189","vulnD"
"case_189","serD"
"case_189","vulnD"
"case_190","serD"
"case_190","vulnD"
"case_190","serD"
"case_190","vulnD"
"case_190","serD"
"case_190","vulnD"
"case_191","serD"
"case_191","vulnD"
"case_191","serD"
"case_191","vulnD"
"case_191","serD"
"case_191","vulnD"
"case_192","serD"
"case_192","vulnD"
"case_192","serD"
"case_192","vulnD"
"case_192","serD"
"case_192","vulnD"
"case_193","serD"
"case_193","vulnD"
"case_193","serD"
"case_193","vulnD"
"case_193","serD"
"case_193","vulnD"
"case_193","serD"
"case_193","vulnD"
"case_193","infoD"
"case_193","serD"
"case_193","vulnD"
"case_194","serD"
"case_194","vulnD"
"case_194","serD"
"case_194","vulnD"
"case_194","serD"
"case_194","vulnD"
"case_195","serD"
"case_195","vulnD"
"case_195","serD"
"case_195","vulnD"
"case_195","serD"
"case_195","vulnD"
"case_196","serD"
"case_196","vulnD"
"case_196","serD"
"case_196","vulnD"
"case_196","serD"
"case_196","vulnD"
"case_197","serD"
"case_197","vulnD"
"case_197","serD"
"case_197","vulnD"
"case_197","serD"
"case_197","vulnD"
"case_197","serD"
"case_197","vulnD"
"case_197","infoD"
"case_197","serD"
"case_197","vulnD"
"case_197","infoD"
"case_198","serD"
"case_198","vulnD"
"case_198","serD"
"case_198","vulnD"
"case_198","serD"
"case_198","vulnD"
"case_199","infoD"
"case_199","serD"
"case_199","vulnD"
"case_200","serD"
"case_200","vulnD"
"case_200","vulnD"
"case_200","hostD"
"case_201","infoD"
"case_201","infoD"
"case_201","CnC"
"case_202","hostD"
"case_202","serD"
"case_202","vulnD"
"case_203","hostD"
"case_203","serD"
"case_203","vulnD"
"case_204","hostD"
"case_204","serD"
"case_204","vulnD"
"case_204","uPrivEsc"
"case_205","hostD"
"case_205","serD"
"case_205","vulnD"
"case_206","hostD"
"case_206","serD"
"case_206","vulnD"
"case_207","hostD"
"case_207","serD"
"case_207","vulnD"
"case_207","bfCred"
"case_208","hostD"
"case_208","serD"
"case_208","vulnD"
"case_208","serD"
"case_208","vulnD"
"case_208","hostD"
