"case","event"
"case_39","serD|unassigned->vulnD|storage"
"case_39","vulnD|storage->serD|storage"
"case_39","serD|storage->vulnD|storage"
"case_39","vulnD|storage->serD|unassigned"
"case_39","serD|unassigned->vulnD|storage"
"case_39","vulnD|storage->end"
"case_40","start->serD|unassigned"
"case_40","serD|unassigned->vulnD|storage"
"case_40","vulnD|storage->serD|unassigned"
"case_40","serD|unassigned->vulnD|storage"
"case_40","vulnD|storage->serD|storage"
"case_40","serD|storage->vulnD|storage"
"case_40","vulnD|storage->serD|unassigned"
"case_40","serD|unassigned->vulnD|storage"
"case_40","vulnD|storage->end"
"case_41","start->serD|unassigned"
"case_41","serD|unassigned->vulnD|storage"
"case_41","vulnD|storage->infoD|remoteAccess"
"case_41","infoD|remoteAccess->hostD|remoteAccess"
"case_41","hostD|remoteAccess->serD|unassigned"
"case_41","serD|unassigned->vulnD|remoteAccess"
"case_41","vulnD|remoteAccess->hostD|http(s)"
"case_41","hostD|http(s)->end"
"case_42","start->serD|unassigned"
"case_42","serD|unassigned->vulnD|storage"
"case_42","vulnD|storage->serD|unassigned"
"case_42","serD|unassigned->vulnD|remoteAccess"
"case_42","vulnD|remoteAccess->end"
"case_43","start->serD|unassigned"
"case_43","serD|unassigned->vulnD|remoteAccess"
"case_43","vulnD|remoteAccess->serD|unassigned"
"case_43","serD|unassigned->vulnD|remoteAccess"
"case_43","vulnD|remoteAccess->end"
"case_44","start->hostD|http(s)"
"case_44","hostD|http(s)->serD|unassigned"
"case_44","serD|unassigned->vulnD|storage"
"case_44","vulnD|storage->serD|unassigned"
"case_44","serD|unassigned->vulnD|storage"
"case_44","vulnD|storage->hostD|http(s)"
"case_44","hostD|http(s)->end"
"case_45","start->serD|unassigned"
"case_45","serD|unassigned->vulnD|storage"
"case_45","vulnD|storage->serD|unassigned"
"case_45","serD|unassigned->vulnD|remoteAccess"
"case_45","vulnD|remoteAccess->end"
"case_46","start->serD|unassigned"
"case_46","serD|unassigned->vulnD|storage"
"case_46","vulnD|storage->serD|unassigned"
"case_46","serD|unassigned->vulnD|storage"
"case_46","vulnD|storage->end"
"case_47","start->hostD|surveillance"
"case_47","hostD|surveillance->serD|unassigned"
"case_47","serD|unassigned->vulnD|storage"
"case_47","vulnD|storage->infoD|unassigned"
"case_47","infoD|unassigned->exfil|unassigned"
"case_47","exfil|unassigned->end"
"case_48","start->vulnD|storage"
"case_48","vulnD|storage->serD|unassigned"
"case_48","serD|unassigned->hostD|surveillance"
"case_48","hostD|surveillance->infoD|unassigned"
"case_48","infoD|unassigned->exfil|unassigned"
"case_48","exfil|unassigned->end"
"case_49","start->serD|unassigned"
"case_49","serD|unassigned->vulnD|remoteAccess"
"case_49","vulnD|remoteAccess->serD|unassigned"
"case_49","serD|unassigned->vulnD|remoteAccess"
"case_49","vulnD|remoteAccess->end"
"case_50","start->serD|unassigned"
"case_50","serD|unassigned->vulnD|remoteAccess"
"case_50","vulnD|remoteAccess->serD|voip"
"case_50","serD|voip->hostD|http(s)"
"case_50","hostD|http(s)->serD|unassigned"
"case_50","serD|unassigned->vulnD|storage"
"case_50","vulnD|storage->serD|voip"
"case_50","serD|voip->hostD|http(s)"
"case_50","hostD|http(s)->end"
"case_51","start->hostD|http(s)"
"case_51","hostD|http(s)->serD|unassigned"
"case_51","serD|unassigned->vulnD|storage"
"case_51","vulnD|storage->bfCred|email"
"case_51","bfCred|email->end"
"case_52","start->serD|unassigned"
"case_52","serD|unassigned->vulnD|remoteAccess"
"case_52","vulnD|remoteAccess->hostD|http(s)"
"case_52","hostD|http(s)->end"
"case_53","start->hostD|unassigned"
"case_53","hostD|unassigned->serD|unassigned"
"case_53","serD|unassigned->vulnD|storage"
"case_53","vulnD|storage->end"
"case_54","start->serD|unassigned"
"case_54","serD|unassigned->vulnD|remoteAccess"
"case_54","vulnD|remoteAccess->serD|unassigned"
"case_54","serD|unassigned->vulnD|remoteAccess"
"case_54","vulnD|remoteAccess->end"
"case_55","start->serD|unassigned"
"case_55","serD|unassigned->vulnD|storage"
"case_55","vulnD|storage->serD|unassigned"
"case_55","serD|unassigned->vulnD|storage"
"case_55","vulnD|storage->end"
"case_56","start->serD|unassigned"
"case_56","serD|unassigned->vulnD|remoteAccess"
"case_56","vulnD|remoteAccess->vulnD|remoteAccess"
"case_56","vulnD|remoteAccess->end"
"case_57","start->serD|unassigned"
"case_57","serD|unassigned->vulnD|remoteAccess"
"case_57","vulnD|remoteAccess->serD|unassigned"
"case_57","serD|unassigned->vulnD|storage"
"case_57","vulnD|storage->end"
"case_58","start->vulnD|http(s)"
"case_58","vulnD|http(s)->rPrivEsc|http(s)"
"case_58","rPrivEsc|http(s)->remoteexp|http(s)"
"case_58","remoteexp|http(s)->dManip|http(s)"
"case_58","dManip|http(s)->exfil|http(s)"
"case_58","exfil|http(s)->end"
"case_59","start->vulnD|storage"
"case_59","vulnD|storage->serD|unassigned"
"case_59","serD|unassigned->hostD|http(s)"
"case_59","hostD|http(s)->end"
"case_60","start->serD|unassigned"
"case_60","serD|unassigned->vulnD|storage"
"case_60","vulnD|storage->hostD|http(s)"
"case_60","hostD|http(s)->end"
"case_61","start->serD|unassigned"
"case_61","serD|unassigned->serD|unassigned"
"case_61","serD|unassigned->vulnD|storage"
"case_61","vulnD|storage->end"
"case_62","start->serD|unassigned"
"case_62","serD|unassigned->serD|unassigned"
"case_62","serD|unassigned->vulnD|storage"
"case_62","vulnD|storage->end"
"case_63","start->hostD|http(s)"
"case_63","hostD|http(s)->serD|unassigned"
"case_63","serD|unassigned->vulnD|storage"
"case_63","vulnD|storage->end"
"case_64","start->hostD|http(s)"
"case_64","hostD|http(s)->serD|ATCcomm"
"case_64","serD|ATCcomm->vulnD|storage"
"case_64","vulnD|storage->end"
"case_65","start->serD|unassigned"
"case_65","serD|unassigned->vulnD|storage"
"case_65","vulnD|storage->hostD|http(s)"
"case_65","hostD|http(s)->end"
"case_66","start->serD|unassigned"
"case_66","serD|unassigned->vulnD|storage"
"case_66","vulnD|storage->hostD|remoteAccess"
"case_66","hostD|remoteAccess->end"
"case_67","start->serD|unassigned"
