"case","event","index"
47,"vulnD|storage",2
47,"serD|unassigned",3
47,"hostD|surveillance",4
48,"exfil|unassigned",0
48,"infoD|unassigned",1
48,"hostD|surveillance",2
48,"serD|unassigned",3
48,"vulnD|storage",4
49,"vulnD|remoteAccess",0
49,"serD|unassigned",1
49,"vulnD|remoteAccess",2
49,"serD|unassigned",3
50,"hostD|http(s)",0
50,"serD|voip",1
50,"vulnD|storage",2
50,"serD|unassigned",3
50,"hostD|http(s)",4
50,"serD|voip",5
50,"vulnD|remoteAccess",6
50,"serD|unassigned",7
51,"bfCred|email",0
51,"vulnD|storage",1
51,"serD|unassigned",2
51,"hostD|http(s)",3
52,"hostD|http(s)",0
52,"vulnD|remoteAccess",1
52,"serD|unassigned",2
53,"vulnD|storage",0
53,"serD|unassigned",1
53,"hostD|unassigned",2
54,"vulnD|remoteAccess",0
54,"serD|unassigned",1
54,"vulnD|remoteAccess",2
54,"serD|unassigned",3
55,"vulnD|storage",0
55,"serD|unassigned",1
55,"vulnD|storage",2
55,"serD|unassigned",3
56,"vulnD|remoteAccess",0
56,"vulnD|remoteAccess",1
56,"serD|unassigned",2
57,"vulnD|storage",0
57,"serD|unassigned",1
57,"vulnD|remoteAccess",2
57,"serD|unassigned",3
58,"exfil|http(s)",0
58,"dManip|http(s)",1
58,"remoteexp|http(s)",2
58,"rPrivEsc|http(s)",3
58,"vulnD|http(s)",4
59,"hostD|http(s)",0
59,"serD|unassigned",1
59,"vulnD|storage",2
60,"hostD|http(s)",0
60,"vulnD|storage",1
60,"serD|unassigned",2
61,"vulnD|storage",0
61,"serD|unassigned",1
61,"serD|unassigned",2
62,"vulnD|storage",0
62,"serD|unassigned",1
62,"serD|unassigned",2
63,"vulnD|storage",0
63,"serD|unassigned",1
63,"hostD|http(s)",2
64,"vulnD|storage",0
64,"serD|ATCcomm",1
64,"hostD|http(s)",2
65,"hostD|http(s)",0
65,"vulnD|storage",1
65,"serD|unassigned",2
66,"hostD|remoteAccess",0
66,"vulnD|storage",1
66,"serD|unassigned",2
67,"vulnD|storage",0
67,"vulnD|storage",1
67,"serD|unassigned",2
68,"delivery|http(s)",0
68,"exfil|http(s)",1
68,"rPrivEsc|http(s)",2
68,"uPrivEsc|http(s)",3
68,"infoD|http(s)",4
68,"vulnD|http(s)",5
68,"vulnD|http(s)",6
68,"serD|remoteAccess",7
68,"hostD|http(s)",8
68,"vulnD|storage",9
68,"serD|unassigned",10
69,"dManip|http(s)",0
69,"ACE|http(s)",1
69,"remoteexp|http(s)",2
69,"PAexp|http(s)",3
69,"serD|remoteAccess",4
70,"dManip|http(s)",0
70,"ACE|http(s)",1
70,"remoteexp|http(s)",2
70,"rPrivEsc|http(s)",3
70,"vulnD|http(s)",4
70,"serD|remoteAccess",5
71,"delivery|http(s)",0
71,"exfil|http(s)",1
71,"dManip|http(s)",2
71,"remoteexp|http(s)",3
71,"PAexp|http(s)",4
71,"infoD|http(s)",5
71,"vulnD|http(s)",6
71,"serD|remoteAccess",7
71,"surf|http(s)",8
71,"serD|remoteAccess",9
71,"serD|remoteAccess",10
72,"rPrivEsc|surveillance",0
72,"uPrivEsc|surveillance",1
72,"vulnD|surveillance",2
72,"vulnD|storage",3
72,"serD|remoteAccess",4
72,"vulnD|storage",5
72,"serD|unassigned",6
73,"delivery|surveillance",0
73,"exfil|surveillance",1
73,"infoD|surveillance",2
74,"ACE|surveillance",0
74,"remoteexp|surveillance",1
74,"vulnD|surveillance",2
75,"exfil|http(s)",0
75,"resHJ|http(s)",1
75,"rPrivEsc|wireless",2
75,"uPrivEsc|wireless",3
75,"infoD|wireless",4
75,"vulnD|wireless",5
75,"surf|wireless",6
75,"serD|remoteAccess",7
75,"vulnD|http(s)",8
75,"serD|remoteAccess",9
75,"infoD|remoteAccess",10
75,"hostD|http(s)",11
75,"vulnD|storage",12
75,"serD|unassigned",13
76,"delivery|wireless",0
76,"dManip|http(s)",1
76,"ACE|http(s)",2
76,"remoteexp|wireless",3
76,"PAexp|wireless",4
76,"serD|remoteAccess",5
77,"exfil|http(s)",0
77,"dManip|http(s)",1
77,"privEsc|http(s)",2
77,"ACE|http(s)",3
77,"remoteexp|hostingServer",4
77,"TOexp|http(s)",5
77,"acctManip|wireless",6
77,"serD|remoteAccess",7
77,"vulnD|hostingServer",8
78,"delivery|hostingServer",0
78,"dManip|wireless",1
78,"ACE|http(s)",2
78,"CnC|hostingServer",3
78,"remoteexp|hostingServer",4
78,"TOexp|http(s)",5
78,"rPrivEsc|http(s)",6
78,"infoD|wireless",7
78,"vulnD|hostingServer",8
78,"serD|remoteAccess",9
78,"serD|remoteAccess",10
78,"serD|remoteAccess",11
78,"serD|remoteAccess",12
79,"rPrivEsc|http(s)",0
79,"uPrivEsc|hostingServer",1
79,"infoD|http(s)",2
79,"vulnD|http(s)",3
79,"surf|http(s)",4
79,"vulnD|http(s)",5
79,"serD|remoteAccess",6
79,"hostD|hostingServer",7
79,"vulnD|storage",8
79,"serD|unassigned",9
80,"delivery|http(s)",0
80,"exfil|http(s)",1
80,"dManip|http(s)",2
80,"ACE|http(s)",3
80,"remoteexp|http(s)",4
80,"PAexp|http(s)",5
80,"serD|remoteAccess",6
81,"dManip|http(s)",0
81,"ACE|http(s)",1
81,"remoteexp|http(s)",2
81,"rPrivEsc|http(s)",3
81,"vulnD|http(s)",4
82,"delivery|http(s)",0
82,"exfil|http(s)",1
82,"dManip|http(s)",2
82,"ACE|hostingServer",3
82,"remoteexp|http(s)",4
82,"PAexp|http(s)",5
82,"TOexp|http(s)",6
82,"infoD|http(s)",7
82,"vulnD|http(s)",8
82,"serD|remoteAccess",9
82,"serD|remoteAccess",10
82,"serD|remoteAccess",11
83,"serD|remoteAccess",0
83,"serD|remoteAccess",1
83,"serD|remoteAccess",2
84,"vulnD|storage",0
84,"vulnD|storage",1
84,"serD|unassigned",2
85,"bfCred|email",0
85,"vulnD|storage",1
85,"serD|unassigned",2
86,"bfCred|email",0
86,"vulnD|http(s)",1
86,"serD|unassigned",2
86,"infoD|remoteAccess",3
86,"vulnD|storage",4
86,"infoD|remoteAccess",5
86,"vulnD|storage",6
86,"serD|unassigned",7
86,"hostD|http(s)",8
87,"exfil|http(s)",0
87,"resHJ|http(s)",1
87,"rPrivEsc|http(s)",2
87,"infoD|http(s)",3
87,"vulnD|http(s)",4
87,"serD|remoteAccess",5
87,"surf|http(s)",6
88,"dManip|http(s)",0
88,"privEsc|http(s)",1
88,"ACE|http(s)",2
88,"remoteexp|http(s)",3
88,"PAexp|http(s)",4
88,"TOexp|http(s)",5
88,"acctManip|http(s)",6
89,"netDOS|broadcast",0
89,"acctManip|broadcast",1
89,"infoD|remoteAccess",2
89,"vulnD|storage",3
89,"serD|unassigned",4
89,"hostD|remoteAccess",5
90,"netDOS|broadcast",0
90,"acctManip|broadcast",1
90,"infoD|remoteAccess",2
90,"vulnD|storage",3
90,"serD|remoteAccess",4
90,"hostD|remoteAccess",5
91,"netDOS|broadcast",0
91,"acctManip|broadcast",1
91,"infoD|nameserver",2
91,"vulnD|storage",3
91,"serD|remoteAccess",4
91,"hostD|remoteAccess",5
92,"netDOS|broadcast",0
92,"acctManip|broadcast",1
92,"infoD|remoteAccess",2
92,"vulnD|storage",3
92,"serD|remoteAccess",4
92,"hostD|remoteAccess",5
93,"netDOS|broadcast",0
93,"acctManip|broadcast",1
93,"infoD|remoteAccess",2
93,"vulnD|storage",3
93,"serD|remoteAccess",4
93,"hostD|remoteAccess",5
94,"netDOS|broadcast",0
94,"acctManip|broadcast",1
94,"infoD|remoteAccess",2
94,"vulnD|storage",3
94,"serD|remoteAccess",4
94,"hostD|remoteAccess",5
95,"netDOS|broadcast",0
95,"acctManip|broadcast",1
95,"infoD|remoteAccess",2
95,"vulnD|storage",3
95,"serD|remoteAccess",4
95,"hostD|remoteAccess",5
96,"netDOS|broadcast",0
96,"acctManip|broadcast",1
96,"infoD|remoteAccess",2
96,"vulnD|storage",3
96,"serD|remoteAccess",4
96,"hostD|remoteAccess",5
97,"netDOS|broadcast",0
97,"acctManip|broadcast",1
97,"infoD|remoteAccess",2
97,"vulnD|storage",3
97,"hostD|remoteAccess",4
98,"netDOS|broadcast",0
98,"acctManip|broadcast",1
98,"infoD|remoteAccess",2
98,"vulnD|storage",3
98,"serD|remoteAccess",4
98,"hostD|remoteAccess",5
99,"netDOS|broadcast",0
99,"acctManip|broadcast",1
99,"infoD|remoteAccess",2
99,"vulnD|storage",3
99,"serD|remoteAccess",4
99,"hostD|remoteAccess",5
100,"netDOS|broadcast",0
100,"acctManip|broadcast",1
100,"infoD|remoteAccess",2
100,"hostD|remoteAccess",3
100,"vulnD|storage",4
100,"serD|unassigned",5
101,"netDOS|broadcast",0
101,"acctManip|broadcast",1
101,"infoD|remoteAccess",2
101,"hostD|remoteAccess",3
101,"vulnD|storage",4
101,"serD|unassigned",5
102,"netDOS|broadcast",0
102,"acctManip|broadcast",1
102,"bfCred|email",2
102,"infoD|remoteAccess",3
102,"hostD|remoteAccess",4
102,"vulnD|storage",5
102,"serD|unassigned",6
103,"exfil|http(s)",0
103,"privEsc|http(s)",1
103,"CnC|http(s)",2
103,"rPrivEsc|http(s)",3
104,"netDOS|broadcast",0
104,"acctManip|broadcast",1
104,"infoD|remoteAccess",2
104,"hostD|remoteAccess",3
104,"vulnD|storage",4
104,"serD|unassigned",5
105,"uPrivEsc|hostingServer",0
105,"uPrivEsc|hostingServer",1
105,"serD|remoteAccess",2
106,"netDOS|broadcast",0
